full_id,osm_id,osm_type,admin_level,boundary,natural,highway,lanes,maxspeed,name,oneway,surface,tiger:cfcc,tiger:county,tiger:reviewed,cycleway:both,name_1,tiger:name_base,tiger:name_base_1,tiger:name_direction_suffix,destination,destination:ref,ref,tiger:name_direction_prefix,tiger:name_direction_prefix_1,bicycle,cycleway,name:etymology:wikidata,old_name,tiger:name_type,lanes:backward,sidewalk,trolley_wire,alt_name,bridge,layer,name_2,old_ref,hov:lanes:backward,lanes:forward,tiger:name_direction_suffix_1,turn:lanes:backward,turn:lanes:forward,hov:lanes:forward,waterway,cycleway:left,cycleway:right,horse,motor_vehicle,lanes:both_ways,turn:lanes:both_ways,name:left,name:right,junction,centre_turn_lane,is_in,turn:lanes,border_type,lit,tunnel
w4963681,"4963681",way,"8",administrative,coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6328791,"6328791",way,,,,secondary,"2",35 mph,South 43rd Street,yes,asphalt,A41,"King, WA",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6342705,"6342705",way,,,,tertiary,"2",,146th Place Northeast,,asphalt,A41,"King, WA",no,no,Denny Road,146th,Denny,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6345767,"6345767",way,,,,motorway_link,,,,yes,,A63,"King, WA",,,,Exit,,,Normandy Park,WA 509 South,WA 509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6353652,"6353652",way,,,,secondary,"4",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6376956,"6376956",way,,,,tertiary,"2",,155th Place Northeast,,,A41,"King, WA",no,,,155th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6386110,"6386110",way,,,,secondary,"2",25 mph,Martin Luther King Junior Way,,,,,,,,,,,,,,,,designated,lane,Q8027,Empire Way South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6417385,"6417385",way,,,,residential,,25 mph,South 194th Street,,,A41,"King, WA",,,,194th,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6431231,"6431231",way,,,,tertiary,"2",25 mph,North 145th Street,,asphalt,A31,"King, WA",,,,145th,,,,,,N,,,,,,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6439398,"6439398",way,,,,tertiary,"2",35 mph,130th Place Northeast,,,A41,"King, WA",,,,130th,,NE,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6457824,"6457824",way,,,,tertiary,,35 mph,130th Avenue Northeast,,,A41,"King, WA",no,,,130th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6474592,"6474592",way,,,,residential,"2",25 mph,East Columbia Street,,,A41,"King, WA",no,,,Columbia,,,,,,E,,,,,,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6474773,"6474773",way,,,,tertiary,"2",25 mph,East Denny Way,,,A41,"King, WA",no,,,Denny,,,,,,E,,,,,,Way,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6483121,"6483121",way,,,,tertiary,"2",25 mph,Northwest 145th Street,,asphalt,A41,"King, WA",no,,,145th,,,,,,NW,,,,,,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6485855,"6485855",way,,,,residential,,,Northeast 175th Street,,,A41,"King, WA",no,,,175th,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6522126,"6522126",way,,,,secondary,,,55th Avenue Northeast,,,A41,"King, WA",,,,55th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6522131,"6522131",way,,,,secondary,"2",,55th Avenue Northeast,,,A41,"King, WA",,,,55th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w8071924,"8071924",way,,,,tertiary,"2",25 mph,East Cherry Street,,,A41,"King, WA",,,,Cherry,,,,,,E,,designated,lane,,,St,,both,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
w11079018,"11079018",way,,,,tertiary,"2",30 mph,Lake Fenwick Road South,,asphalt,A41,"King, WA",no,,,Lake Fenwick,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w22760521,"22760521",way,,,,tertiary,"2",25 mph,Martin Luther King Junior Way,,,,,no,,,,,,,,,,,,,Q8027,Empire Way South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w23723890,"23723890",way,,,,primary,,45 mph,International Boulevard,,,,,,,,,,,,,WA 99,,,,,,,,,,,Pacific Highway South,yes,"1",State Route 99,"US 99;PSH 1",,,,,,,,,,,,,,,,,,,,,,
w23812540,"23812540",way,,,,secondary,"7",35 mph,South 277th Street,,paved,A41,"King, WA",,,,277th,52nd,,,,,S,S,designated,lane,,,,"4",,,South 52nd Street Northeast,yes,"2",,,designated|||,"3",NE,left|left|through|through,left|through|through,,,,,,,,,,,,,,,,,
w23812541,"23812541",way,,,,secondary,"7",35 mph,South 277th Street,,asphalt,A41,"King, WA",no,,,277th,52nd,,,,,S,S,designated,lane,,,,"3",,,South 52nd Street Northeast,,,,,,"4",NE,left|through|through,left|left|through|through,designated|||,,,,,,,,,,,,,,,,
w24303730,"24303730",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25476303,"25476303",way,,,,secondary,,,Northeast 171st Street,,asphalt,A41,"King, WA",,,,171st,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25476309,"25476309",way,,,,tertiary,"2",,Northeast 173rd Street,,asphalt,A41,"King, WA",no,no,,173rd,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25476313,"25476313",way,,,,tertiary,"2",,Northeast 173rd Street,,asphalt,A41,"King, WA",no,no,,173rd,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25907609,"25907609",way,,,,secondary,,35 mph,South 277th Street,,,A41,"King, WA",,,South 52nd Street Northeast,277th,52nd,,,,,S,S,,,,,,,,,,yes,"1",,,,,NE,,,,,,,,,,,,,,,,,,,
w25907610,"25907610",way,,,,secondary,"4",35 mph,South 277th Street,,asphalt,A41,"King, WA",no,,,277th,52nd,,,,,S,S,,,,,,,,,South 52nd Street Northeast,,,,,,,NE,,,,,,,,,,,,,,,,,,,
w25907676,"25907676",way,,,,secondary,,35 mph,South 277th Street,,,A41,"King, WA",,,South 52nd Street Northeast,277th,52nd,,,,,S,S,,,,,,,,,,yes,"1",,,,,NE,,,,,,,,,,,,,,,,,,,
w25907677,"25907677",way,,,,secondary,,35 mph,South 277th Street,,,A41,"King, WA",,,South 52nd Street Northeast,277th,52nd,,,,,S,S,,,,,,,,,,,"1",,,,,NE,,,,,,,,,,,,,,,,,,,
w25923454,"25923454",way,,,,,,,Green River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w25923455,"25923455",way,,,,,,,Green River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w26215772,"26215772",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26219854,"26219854",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w26224261,"26224261",way,,,,,,,Green River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w29198142,"29198142",way,,,,primary,"2",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",,,,148th,,NE,,,,,,,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,
w32135618,"32135618",way,,,,tertiary,"2",25 mph,East Denny Way,,,A41,"King, WA",no,,,Denny,,,,,,E,,designated,,,,Way,,both,yes,,,,,,,,,,,,,shared_lane,lane,,,,,,,,,,,,,
w32143377,"32143377",way,,,,residential,"2",20 mph,East Cherry Street,,,A41,"King, WA",no,,,Cherry,,,,,,E,,,,,,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w34904323,"34904323",way,,,,primary,"5",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"2",,,State Route 523,yes,"1",,,,"3",,,left||,,,,,,,,,,,,,,,,,
w34904324,"34904324",way,,,,primary,"4",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",no,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,,,,State Route 523,,,,,,,,,,,,,,,,,,,,,,,,,,
w38472888,"38472888",way,,,,primary,"4",35 mph,North 145th Street,,,A31,"King, WA",,,,145th,State Route 523,,,,WA 523,N,,,,,,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w38472897,"38472897",way,,,,tertiary,"2",25 mph,Northeast 145th Street,,,A31,"King, WA",no,,,145th,,,,,,NE,,,,,,Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40416127,"40416127",way,,,,tertiary,"2",25 mph,Martin Luther King Junior Way East,,,,,no,,,,,,,,,,,,,Q8027,Empire Way South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40416129,"40416129",way,,,,tertiary,"2",25 mph,32nd Avenue,,,A41,"King, WA",no,,,32nd,,,,,,,,,,,,Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40478911,"40478911",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40478912,"40478912",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40478917,"40478917",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40478935,"40478935",way,"10",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40478942,"40478942",way,"8",administrative,,,,,Green River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w40478944,"40478944",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40478981,"40478981",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479451,"40479451",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479454,"40479454",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479468,"40479468",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479469,"40479469",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479472,"40479472",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479473,"40479473",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479475,"40479475",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479492,"40479492",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479560,"40479560",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40479572,"40479572",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40482785,"40482785",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40482959,"40482959",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40482960,"40482960",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40482970,"40482970",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40483021,"40483021",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40483022,"40483022",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40483023,"40483023",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w40483025,"40483025",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
