full_id,osm_id,osm_type,admin_level,border_type,boundary,is_in,is_in:country,is_in:country_code,is_in:iso_3166_2,is_in:state,is_in:state_code,name,place,tiger:CLASSFP,tiger:CPI,tiger:FUNCSTAT,tiger:LSAD,tiger:MTFCC,tiger:NAME,tiger:NAMELSAD,tiger:PCICBSA,tiger:PCINECTA,tiger:PLACEFP,tiger:PLACENS,tiger:PLCIDFP,tiger:STATEFP,type,wikidata,wikipedia,alt_name,census:population,population,website,name:ja,name:oc,name:zh-Hans,name:zh-Hant,name:etymology:wikidata,nist:fips_code,nist:state_fips,source:population,ele,gnis:Class,gnis:County,gnis:County_num,gnis:ST_alpha,gnis:ST_num,gnis:feature_id,import_uuid,gnis:id,gnis_cou_1,gnis_count,gnis_state
r237258,"237258",relation,"8",city,administrative,"USA, Washington",USA,US,US:WA,Washington,WA,Pacific,city,C1,N,A,"25",G4110,Pacific,Pacific city,N,N,"52495","02411349","5352495","53",boundary,Q1506861,"en:Pacific, Washington",,,,,,,,,,,,,,,,,,,,,,,,
r237259,"237259",relation,"8",city,administrative,"USA, Washington",USA,US,US:WA,Washington,WA,Edgewood,city,C1,N,A,"25",G4110,Edgewood,Edgewood city,N,N,"20645","02410400","5320645","53",boundary,Q1508050,"en:Edgewood, Washington",,,,,,,,,,,,,,,,,,,,,,,,
r237332,"237332",relation,"8",town,administrative,"USA, Washington",USA,US,US:WA,Washington,WA,Beaux Arts Village,town,C1,N,A,"43",G4110,Beaux Arts Village,Beaux Arts Village town,N,N,"04895","02411673","5304895","53",boundary,Q1507898,"en:Beaux Arts Village, Washington",,,,,,,,,,,,,,,,,,,,,,,,
r237342,"237342",relation,"8",city,administrative,,USA,US,US:WA,Washington,WA,Burien,city,C1,N,A,"25",G4110,Burien,Burien city,N,N,"08850","02409940","5308850","53",boundary,Q984825,"en:Burien, Washington",,,,,,,,,,,,,,,,,,,,,,,,
r237343,"237343",relation,"8",city,administrative,,USA,US,,Washington,WA,Clyde Hill,city,C1,N,A,"25",G4110,Clyde Hill,Clyde Hill city,N,N,"13365","02409492","5313365","53",boundary,Q1505600,"en:Clyde Hill, Washington",,,,,,,,,,,,,,,,,,,,,,,,
r237348,"237348",relation,"8",city,administrative,"USA, Washington",USA,US,US:WA,Washington,WA,Normandy Park,city,C1,N,A,"25",G4110,Normandy Park,Normandy Park city,N,N,"49415","02411268","5349415","53",boundary,Q1502377,"en:Normandy Park, Washington",,,,,,,,,,,,,,,,,,,,,,,,
r237349,"237349",relation,"8",city,administrative,,,,,,,Des Moines,,,,,,,,,,,,,,,boundary,Q163325,"en:Des Moines, Washington",,,,,,,,,,,,,,,,,,,,,,,,
r237350,"237350",relation,"8",city,administrative,,USA,US,US:WA,Washington,WA,Federal Way,city,C1,Y,A,"25",G4110,Federal Way,Federal Way city,N,N,"23515","02410494","5323515","53",boundary,Q821112,"en:Federal Way, Washington","FW;Fed Way",,,,,,,,,,,,,,,,,,,,,,,
r237351,"237351",relation,"8",town,administrative,,USA,US,US:WA,Washington,WA,Hunts Point,town,C1,N,A,"43",G4110,Hunts Point,Hunts Point town,N,N,"32755","02412782","5332755","53",boundary,Q384969,"en:Hunts Point, Washington",,,,,,,,,,,,,,,,,,,,,,,,
r237352,"237352",relation,"8",town,administrative,,USA,US,,Washington,WA,Yarrow Point,town,C1,N,A,"43",G4110,Yarrow Point,Yarrow Point town,N,N,"80150","02413520","5380150","53",boundary,Q1507131,"en:Yarrow Point, Washington",,,,,,,,,,,,,,,,,,,,,,,,
