,Attribute,Importance
0,bedrooms_transformed,22208.68461549314
1,bathrooms_transformed,28809.9392609824
2,sqft_living_transformed,136001.96895319197
3,sqft_lot_transformed,42056.101088764175
4,yr_built_transformed,10521.026762836642
5,sqft_living15_transformed,22740.410772762218
6,sqft_lot15_transformed,7003.56319286162
7,distanceM_transformed,78906.37295605516
8,floors_one,2480.5709157936217
9,waterfront_1,427633.24717873684
10,view_1,97017.20317186767
11,view_2,93963.0389823154
12,view_3,204471.23674753885
13,view_4,422378.74060388125
14,condition_2,67987.32530373918
15,condition_3,78481.44751436818
16,condition_4,91835.98918707555
17,condition_5,143983.82415916573
18,grade_below_avg,15766.343361333325
19,zipcode_98002,76765.53453933766
20,zipcode_98003,6706.988170915902
21,zipcode_98004,686495.4201271101
22,zipcode_98005,273609.7711469887
23,zipcode_98006,249856.67578655967
24,zipcode_98007,201141.27720772446
25,zipcode_98008,212362.3578039984
26,zipcode_98010,127021.70877210455
27,zipcode_98011,96472.00907856552
28,zipcode_98014,75811.79979749022
29,zipcode_98019,68608.13469224141
30,zipcode_98022,89476.45334548803
31,zipcode_98023,7451.095398151265
32,zipcode_98024,161990.83727112017
33,zipcode_98027,164361.47843701142
34,zipcode_98028,53778.04678242475
35,zipcode_98029,225530.3128616874
36,zipcode_98030,2355.1023530901875
37,zipcode_98031,3050.603937310996
38,zipcode_98032,18692.727009316164
39,zipcode_98033,326702.7301700273
40,zipcode_98034,171302.34852411065
41,zipcode_98038,65929.4223948418
42,zipcode_98039,1165618.7606402845
43,zipcode_98040,470124.2000208104
44,zipcode_98042,32205.5811601493
45,zipcode_98045,160528.47310827387
46,zipcode_98052,201525.09524448856
47,zipcode_98053,210054.05872936384
48,zipcode_98055,13862.621909907315
49,zipcode_98056,56660.766317339716
50,zipcode_98058,7085.4513121015625
51,zipcode_98059,57080.781934590195
52,zipcode_98065,138473.33374983395
53,zipcode_98070,39997.121944060054
54,zipcode_98072,141958.21053560675
55,zipcode_98074,186702.2356604854
56,zipcode_98075,217548.5051586886
57,zipcode_98077,148019.52236051267
58,zipcode_98092,31263.153711844963
59,zipcode_98102,393816.6154103901
60,zipcode_98103,248529.07700368072
61,zipcode_98105,418758.9617537225
62,zipcode_98106,87555.75768089676
63,zipcode_98107,260356.39979290232
64,zipcode_98108,31465.37753258532
65,zipcode_98109,366262.19194664765
66,zipcode_98112,535900.4649201715
67,zipcode_98115,275532.67370273697
68,zipcode_98116,275421.23992232647
69,zipcode_98117,262078.72274314117
70,zipcode_98118,109468.11615561265
71,zipcode_98119,359591.6926048971
72,zipcode_98122,235084.33837645414
73,zipcode_98125,118841.21947619878
74,zipcode_98126,174392.9640958639
75,zipcode_98133,93640.2483705492
76,zipcode_98136,225874.63698635204
77,zipcode_98144,209012.66288112072
78,zipcode_98146,26370.895973250284
79,zipcode_98148,11890.72980607219
80,zipcode_98155,73173.39029760085
81,zipcode_98166,13074.406729021739
82,zipcode_98168,18320.305967902626
83,zipcode_98177,156905.7369062572
84,zipcode_98178,23325.851566612117
85,zipcode_98188,27127.42943942098
86,zipcode_98198,28701.55787755374
87,zipcode_98199,301903.02761738346
88,renovated_True,43975.02138680981
89,basement_True,56521.11273873842
