,Attribute,Importance
36,zipcode_98039,1343191.9713930867
19,zipcode_98004,726618.627943558
9,waterfront_1,560610.0168378364
56,zipcode_98112,554574.7191814703
37,zipcode_98040,467045.9965045097
50,zipcode_98102,422292.98471584095
13,view_4,415801.8970236323
52,zipcode_98105,398472.18837807927
61,zipcode_98119,334915.9691324423
55,zipcode_98109,322800.56562956556
33,zipcode_98033,306998.263379722
71,zipcode_98199,301829.7411346669
58,zipcode_98116,278204.68089936103
21,zipcode_98006,259231.78012719948
57,zipcode_98115,257229.26624274344
59,zipcode_98117,246451.35255615282
20,zipcode_98005,243960.0534512756
54,zipcode_98107,241932.63523095296
51,zipcode_98103,234083.86803521146
32,zipcode_98029,230202.2349328259
62,zipcode_98122,218366.71289433993
12,view_3,215420.18391305898
29,zipcode_98024,205105.62773813185
67,zipcode_98144,205057.48656889197
66,zipcode_98136,199079.76935939596
23,zipcode_98008,197587.83107029612
47,zipcode_98075,197225.08788735833
22,zipcode_98007,195010.0118296222
40,zipcode_98052,192656.2332446515
41,zipcode_98053,190351.93513270657
46,zipcode_98074,181790.46064917807
17,condition_5,178487.30251488468
30,zipcode_98027,171926.2680063864
39,zipcode_98045,168873.92268881286
64,zipcode_98126,166827.5906234993
34,zipcode_98034,164998.77174592507
48,zipcode_98077,146977.4038736277
69,zipcode_98177,145914.6449912104
0,sqft_living_transformed,143112.8724917121
24,zipcode_98010,136201.37420117535
44,zipcode_98065,135216.08876235096
45,zipcode_98072,133281.18023226378
16,condition_4,131030.464468078
14,condition_2,124973.6276871657
15,condition_3,120608.20210217638
28,zipcode_98022,116488.23911233332
26,zipcode_98014,110766.36781018478
10,view_1,103074.44241421849
63,zipcode_98125,99003.36668159591
60,zipcode_98118,94923.89564903203
11,view_2,93876.18481177773
53,zipcode_98106,90630.3703530347
6,distanceM_transformed,88090.70246980397
18,zipcode_98002,85172.75028526963
65,zipcode_98133,81946.51979823828
25,zipcode_98011,74998.894994473
27,zipcode_98019,73612.62806804758
68,zipcode_98155,66082.75359143142
35,zipcode_98038,64895.796057250795
8,basement_True,59745.876894103596
42,zipcode_98056,53364.03345995645
1,sqft_lot_transformed,50063.69930961457
43,zipcode_98059,49917.68676801611
31,zipcode_98028,47780.11511806431
7,renovated_True,46045.808634753164
5,bathrooms_transformed,44772.97534906179
49,zipcode_98092,44607.33202520659
38,zipcode_98042,40694.7821848895
70,zipcode_98198,37640.01757833491
3,sqft_living15_transformed,26787.329812705706
4,bedrooms_transformed,26290.904791557798
2,yr_built_transformed,7141.919798532355
