,0
0,0
1,18112
2,14155
3,25519
4,17950
5,33624
6,34145
7,40857
8,26971
9,14031
10,49301
11,22342
12,11446
13,23443
14,33306
15,8064
16,17817
17,40814
18,6195
19,44676
20,36279
21,10167
22,19464
23,55158
24,40751
25,38867
26,47618
27,4272
28,3249
29,10645
30,30110
31,31443
32,13440
33,8571
34,9253
35,33158
36,9326
37,22550
38,6819
39,37000
40,25688
41,35137
42,22930
43,33776
44,4536
45,29351
46,41360
47,44223
48,19334
49,10405
50,36970
51,23996
52,28508
53,8819
54,10511
55,8872
56,8154
57,44446
58,44002
59,22613
60,27263
61,24968
62,23074
63,23212
64,7919
65,5096
66,7886
67,17472
68,38621
69,59550
70,12884
71,20440
72,29012
73,13857
74,48859
75,48616
76,35788
77,23388
78,19720
79,12015
80,51714
81,50632
82,50626
83,11065
84,31219
85,15336
86,2938
87,50458
88,25819
89,25244
90,17341
91,46598
92,6441
93,40982
94,9614
95,9614
96,11691
97,33788
98,45194
99,48444
100,60406
101,18112
102,14155
103,25519
104,17950
105,33624
106,34145
107,40857
108,26971
109,14031
110,49301
111,22342
112,11446
113,23443
114,33306
115,8064
116,17817
117,40814
118,6195
119,44676
120,36279
121,10167
122,19464
123,55158
124,40751
125,38867
126,47618
127,4272
128,3249
129,10645
130,30110
131,31443
132,13440
133,8571
134,9253
135,33158
136,9326
137,22550
138,6819
139,37000
140,25688
141,35137
142,22930
143,33776
144,4536
145,29351
146,41360
147,44223
148,19334
149,10405
150,36970
151,23996
152,28508
153,8819
154,10511
155,8872
156,8154
157,44446
158,44002
159,22613
160,27263
161,24968
162,23074
163,23212
164,7919
165,5096
166,7886
167,17472
168,38621
169,59550
170,12884
171,20440
172,29012
173,13857
174,48859
175,48616
176,35788
177,23388
178,19720
179,12015
180,51714
181,50632
182,50626
183,11065
184,31219
185,15336
186,2938
187,50458
188,25819
189,25244
190,17341
191,46598
192,6441
193,40982
194,9614
195,9614
196,11691
197,33788
198,45194
199,48444
200,60406
201,5509
202,8304
203,37002
204,17734
205,30500
206,35033
207,9255
208,29011
209,31715
210,22537
211,29344
212,7752
213,49129
214,10712
215,42364
216,10282
217,7645
218,18433
219,16978
220,8455
221,22494
222,28836
223,10811
224,14044
225,28220
226,14633
227,19638
228,45036
229,7051
230,47080
231,53453
232,29626
233,28819
234,34232
235,7693
236,36800
237,37141
238,22104
239,13499
240,7645
241,2392
242,22615
243,29670
244,11707
245,22577
246,37286
247,2706
248,38105
249,29231
250,8406
251,8252
252,5085
253,39508
254,22151
255,10508
256,29435
257,24864
258,43151
259,69243
260,34406
261,17338
262,25088
263,36721
264,30956
265,41130
266,26614
267,25882
268,24938
269,28045
270,16187
271,18344
272,47254
273,18711
274,17303
275,23786
276,4175
277,8016
278,4547
279,69872
280,12894
281,44278
282,16408
283,24189
284,45771
285,29121
286,19647
287,44633
288,34147
289,5210
290,22663
291,29556
292,28333
293,17395
294,18132
295,17894
296,44442
297,10310
298,16650
299,41079
300,46405
301,26679
302,39092
303,9084
304,46040
305,30778
306,18821
307,30456
308,19395
309,20974
310,12247
311,49075
312,8578
313,36503
314,39453
315,12737
316,18389
317,16451
318,16634
319,8804
320,12991
321,35283
322,30578
323,31855
324,35410
325,46759
326,16233
327,33908
328,46705
329,34113
330,33079
331,24478
332,24805
333,41221
334,45820
335,8933
336,17361
337,56612
338,4548
339,40290
340,37304
341,40100
342,16231
343,8621
344,43418
345,7453
346,46381
347,29510
348,15148
349,50545
350,7734
351,32452
352,36777
353,58677
354,12924
355,40240
356,10744
357,14061
358,33701
359,59233
360,30147
361,6031
362,27077
363,32816
364,8823
365,31659
366,35709
367,16465
368,11063
369,46020
370,12139
371,34910
372,11233
373,38351
374,17557
375,7437
376,35327
377,30039
378,21321
379,45724
380,13303
381,36206
382,16503
383,6059
384,33615
385,24158
386,39119
387,34743
388,25096
389,22357
390,21504
391,24394
392,30132
393,38561
394,23022
395,17788
396,36976
397,42097
398,27214
399,8448
400,25210
401,33093
402,33935
403,10853
404,51179
405,19471
406,4611
407,22952
408,31286
409,8321
410,23700
411,5626
412,49370
413,3229
414,27440
415,27440
416,36384
417,15144
418,42243
419,5652
420,18087
421,24980
422,34222
423,48314
424,46625
425,17807
426,17807
427,38419
428,4420
429,19223
430,19207
431,9520
432,24579
433,69670
434,6737
435,16498
436,50327
437,31246
438,8154
439,18992
440,21854
441,27534
442,25568
443,13804
444,40371
445,46340
446,19012
447,19012
448,38687
449,39627
450,21354
451,50215
452,16244
453,25734
454,7688
455,39505
456,12159
457,49014
458,21251
459,23433
460,19045
461,37182
462,33399
463,46346
464,19659
465,22515
466,60499
467,23371
468,33587
469,35459
470,28109
471,26160
472,19448
473,19448
474,43955
475,26930
476,36750
477,15271
478,48864
479,8946
480,7121
481,28956
482,33494
483,40977
484,23328
485,24147
486,18574
487,33988
488,29710
489,18151
490,20870
491,14160
492,25844
493,52661
494,12779
495,16797
496,24320
497,23550
498,22520
499,9926
500,32375
501,4519
502,71251
503,9633
504,54468
505,46183
506,21138
507,5551
508,47159
509,30361
510,44328
511,34462
512,39213
513,38372
514,24445
515,20938
516,24760
517,38068
518,16365
519,39436
520,41534
521,8536
522,19641
523,25089
524,32842
525,4319
526,49597
527,21318
528,12515
529,26107
530,31050
531,40108
532,29165
533,6707
534,30068
535,25912
536,21924
537,32976
538,28576
539,8170
540,17845
541,48875
542,36941
543,9518
544,48598
545,30147
546,33732
547,25932
548,29016
549,27132
550,22247
551,31117
552,32614
553,49250
554,23383
555,17246
556,23528
557,28705
558,40897
559,20605
560,46214
561,24780
562,42900
563,37670
564,42720
565,20349
566,44046
567,16857
568,44560
569,17276
570,47125
571,18318
572,31922
573,14423
574,31982
575,34400
576,33992
577,10116
578,11747
579,17011
580,19550
581,19417
582,38481
583,16353
584,18251
585,36624
586,44752
587,24057
588,17165
589,38698
590,25762
591,22568
592,28791
593,45471
594,26044
595,27774
596,4428
597,19375
598,29892
599,20077
600,45657
601,47095
602,8456
603,41081
604,18284
605,29635
606,26087
607,7196
608,16519
609,5224
610,21140
611,32321
612,31282
613,33692
614,16040
615,19746
616,16431
617,34422
618,20729
619,7044
620,38957
621,28800
622,22085
623,17926
624,25904
625,15927
626,17128
627,32292
628,41383
629,16268
630,27677
631,49732
632,50389
633,34684
634,26903
635,64043
636,32650
637,28518
638,4926
639,40118
640,29026
641,26656
642,27761
643,34277
644,36514
645,37979
646,28982
647,26681
648,15203
649,33515
650,17129
651,11485
652,6897
653,17996
654,28283
655,24682
656,31715
657,14913
658,25468
659,23758
660,47671
661,46201
662,58939
663,9271
664,34377
665,18241
666,33024
667,17376
668,8505
669,2827
670,50454
671,49429
672,36823
673,10178
674,4842
675,31435
676,44939
677,40107
678,37623
679,25142
680,44246
681,47394
682,36408
683,21316
684,26404
685,35582
686,55167
687,4505
