,Attribute,pvalue,coef
const,const,0.0,const
x1,bedrooms_transformed,1.3605060792083414e-34,x1
x2,bathrooms_transformed,5.159161556251349e-34,x2
x3,sqft_living_transformed,0.0,x3
x4,sqft_lot_transformed,6.123453155764664e-108,x4
x5,yr_built_transformed,3.3125126513818025e-06,x5
x6,sqft_living15_transformed,1.997907396077867e-24,x6
x7,distanceM_transformed,5.676104240528515e-86,x7
x8,waterfront_1,2.8696128331382136e-99,x8
x9,view_1,8.020616930004039e-18,x9
x10,view_2,3.758951781990196e-42,x10
x11,view_3,2.5437044934070577e-103,x11
x12,view_4,1.333212757630836e-189,x12
x13,condition_4,3.7831543170459515e-05,x13
x14,condition_5,2.1662124861993832e-33,x14
x15,grade_below_avg,8.53122016524906e-06,x15
x16,zipcode_98002,9.450932071216154e-08,x16
x17,zipcode_98004,0.0,x17
x18,zipcode_98005,7.3200671295028e-69,x18
x19,zipcode_98006,7.484118955751393e-135,x19
x20,zipcode_98007,3.006209043209506e-30,x20
x21,zipcode_98008,1.0495015299545725e-68,x21
x22,zipcode_98010,7.058899680645672e-10,x22
x23,zipcode_98011,5.6016139259984e-11,x23
x24,zipcode_98014,4.8021032085552354e-05,x24
x25,zipcode_98019,1.1470323812048065e-06,x25
x26,zipcode_98022,1.9189399180156417e-09,x26
x27,zipcode_98024,1.7130224994549105e-13,x27
x28,zipcode_98027,6.016072538287771e-57,x28
x29,zipcode_98028,8.009713812487941e-06,x29
x30,zipcode_98029,6.893774145121718e-81,x30
x31,zipcode_98033,3.60488014873662e-213,x31
x32,zipcode_98034,3.9835420246573466e-83,x32
x33,zipcode_98038,1.0432722849247249e-11,x33
x34,zipcode_98039,0.0,x34
x35,zipcode_98040,3.8002065134441158e-289,x35
x36,zipcode_98042,0.00042595993750245897,x36
x37,zipcode_98045,6.51456317220437e-27,x37
x38,zipcode_98052,1.0584375799102132e-110,x38
x39,zipcode_98053,1.4328742813607071e-84,x39
x40,zipcode_98056,6.541274417687749e-08,x40
x41,zipcode_98059,1.0020607075289867e-08,x41
x42,zipcode_98065,6.791243602262628e-27,x42
x43,zipcode_98072,5.325270531461471e-31,x43
x44,zipcode_98074,2.4415953240176544e-82,x44
x45,zipcode_98075,4.367676743650038e-85,x45
x46,zipcode_98077,1.6903902256796934e-23,x46
x47,zipcode_98092,0.005106826459708183,x47
x48,zipcode_98102,1.7721835750979426e-59,x48
x49,zipcode_98103,4.865487502888692e-99,x49
x50,zipcode_98105,2.578130080811392e-156,x50
x51,zipcode_98106,1.5249753098687363e-11,x51
x52,zipcode_98107,1.8789509500101747e-65,x52
x53,zipcode_98109,3.9318807822112844e-51,x53
x54,zipcode_98112,2.3738336651419006e-237,x54
x55,zipcode_98115,1.1681098107228727e-148,x55
x56,zipcode_98116,1.0268233209476994e-114,x56
x57,zipcode_98117,9.9783603122506e-124,x57
x58,zipcode_98118,4.682977363490319e-24,x58
x59,zipcode_98119,1.1773687108569295e-85,x59
x60,zipcode_98122,9.183698441490732e-51,x60
x61,zipcode_98125,1.0312275143785175e-25,x61
x62,zipcode_98126,5.930584024220181e-47,x62
x63,zipcode_98133,1.9263266027191797e-19,x63
x64,zipcode_98136,5.914595330287149e-63,x64
x65,zipcode_98144,9.182446624979179e-53,x65
x66,zipcode_98155,1.0749254185646608e-13,x66
x67,zipcode_98177,3.539189315321175e-31,x67
x68,zipcode_98199,7.021386473299958e-102,x68
x69,renovated_True,5.81913867724649e-10,x69
x70,basement_True,8.489282158037067e-72,x70
